Code,PMG,Register,Scrape
NW1212,1,0,1
NW1213,1,1,1
NW1214,1,1,0
NW1215,1,1,0
NW1216,1,1,0
NW1217,1,1,1
NW1218,1,1,0
NW1219,1,1,0
NW122,1,1,0
NW1220,1,1,1
NW1221,1,0,1
NW1222,1,0,1
NW1223,1,0,0
NW1224,1,1,0
NW1225,1,0,1
NW1226,0,1,0
NW1227,0,1,0
NW1229,1,0,0
NW123,1,1,0
NW1230,1,1,0
NW1231,1,0,0
NW1232,1,1,1
NW1233,1,0,0
NW1234,1,1,1
NW1235,1,1,0
NW1236,0,1,1
NW1237,1,1,0
NW1238,1,1,1
NW1239,1,0,1
NW124,1,1,0
NW1240,0,1,0
NW1241,0,1,1
NW1242,1,1,0
NW1243,1,1,0
NW1244,0,1,0
NW1245,1,1,1
NW1246,1,1,1
NW1247,0,1,0
NW1248,1,1,0
NW1249,1,0,1
NW125,1,1,0
NW1250,1,1,1
NW1251,1,0,1
NW1252,1,0,1
NW1253,1,0,1
NW1254,1,1,1
NW1255,1,0,1
NW1257,0,1,0
NW1258,1,1,0
NW1259,1,1,0
NW126,1,1,1
NW1260,1,1,0
NW1261,1,0,1
NW1262,0,1,0
NW1263,1,0,0
NW1264,1,1,1
NW1265,1,1,1
NW1266,1,0,1
NW1267,1,1,1
NW1268,1,1,0
NW1269,1,1,1
NW127,1,1,0
NW1270,0,1,0
NW1271,1,1,1
NW1272,1,1,1
NW1273,1,1,0
NW1274,0,1,0
NW1275,0,1,1
NW1276,1,1,1
NW1277,1,0,1
NW1278,1,1,0
NW1279,1,1,0
NW128,1,1,1
NW1280,0,1,0
NW1281,1,1,1
NW1282,0,1,0
NW1283,1,1,1
NW1284,1,1,1
NW1285,1,1,1
NW1286,1,1,1
NW1287,0,1,0
NW1288,1,1,1
NW1289,1,1,1
NW129,1,1,0
NW1290,0,1,0
NW1291,1,1,0
NW1292,1,1,1
NW1293,1,1,1
NW1294,1,1,0
NW1295,1,1,1
NW1296,1,1,0
NW1297,1,1,1
NW1298,1,1,1
NW1299,1,1,1
NW13,1,1,1
NW130,1,1,1
NW1300,0,1,0
NW1301,1,1,1
NW1302,1,1,1
NW1303,0,1,1
NW1304,1,1,1
NW1305,1,1,1
NW1306,1,1,1
NW1307,1,1,1
NW1308,1,1,1
NW1309,1,1,1
NW131,1,1,1
NW1310,1,1,1
NW1311,1,1,1
NW1312,1,0,1
NW1313,1,1,1
NW1314,1,1,0
NW1315,1,1,1
NW1316,1,1,1
NW1317,1,1,1
NW1318,1,1,1
NW1319,1,1,1
NW132,1,1,0
NW1320,1,1,1
NW1321,1,1,1
NW1322,1,1,0
NW1323,1,1,0
NW1324,1,1,0
NW1325,1,1,1
NW1326,0,1,1
NW1327,1,1,1
NW1328,1,1,0
NW1329,1,0,1
NW133,1,1,1
NW1330,1,1,0
NW1331,1,1,1
NW1332,1,1,1
NW1333,1,1,1
NW1334,1,1,1
NW1335,1,1,1
NW1336,1,1,1
NW1337,1,0,1
NW1338,0,1,1
NW1339,1,1,1
NW134,1,1,1
NW1340,1,1,0
NW1341,1,1,1
NW1342,1,1,1
NW1343,1,1,0
NW1344,1,1,1
NW1345,1,1,1
NW1346,1,1,1
NW1347,1,1,1
NW1348,1,0,1
NW1349,1,1,1
NW135,1,1,0
NW1350,1,1,0
NW1351,1,1,1
NW1352,1,1,1
NW1353,1,1,0
NW1354,1,1,1
NW1355,1,1,1
NW1356,1,1,0
NW1357,0,1,0
NW1358,1,1,1
NW1359,1,1,1
NW136,1,1,1
NW1360,1,1,1
NW1361,1,1,1
NW1362,1,1,1
NW1363,1,1,1
NW1364,1,1,1
NW1365,1,1,0
NW1366,1,1,1
NW1367,1,1,1
NW1368,1,1,1
NW1369,1,1,0
NW137,1,1,1
NW1370,1,1,1
NW1371,1,1,0
NW1372,1,1,1
NW1373,1,1,0
NW1374,1,1,0
NW1375,1,1,1
NW1376,1,1,1
NW1377,1,1,1
NW1378,1,1,1
NW1379,1,1,1
NW138,1,1,0
NW1380,1,1,1
NW1381,1,1,1
NW1382,1,1,1
NW1383,1,1,1
NW1384,1,1,1
NW1385,1,1,1
NW1386,0,1,0
NW1387,1,1,1
NW1388,1,1,0
NW1389,1,1,1
NW139,1,1,1
NW1390,1,1,1
NW1391,1,1,1
NW1392,1,1,1
NW1393,1,1,1
NW1394,1,1,1
NW1395,1,1,1
NW1396,1,0,0
NW1397,1,1,1
NW1398,1,1,1
NW1399,1,1,1
NW14,1,1,1
NW140,1,1,1
NW1400,1,1,1
NW1401,1,1,1
NW1402,1,1,1
NW1403,1,0,1
NW1404,1,0,1
NW1405,0,1,1
NW1406,0,1,0
NW1407,1,0,0
NW1408,1,0,1
NW1409,1,1,1
NW141,0,1,0
NW1410,1,1,1
NW1411,1,1,1
NW1412,1,1,1
NW1413,1,1,1
NW1414,1,1,1
NW1415,1,1,0
NW1416,1,1,1
NW1417,0,1,0
NW1418,0,1,0
NW1419,0,1,0
NW142,0,1,0
NW1420,0,1,0
NW1421,1,1,1
NW1422,1,1,1
NW1423,1,1,1
NW1424,0,1,0
NW1425,1,1,1
NW1426,1,1,1
NW1427,1,1,1
NW1428,1,1,1
NW1429,1,1,1
NW1430,0,1,0
NW1431,0,0,1
NW1432,0,1,1
NW1433,0,1,1
NW1434,1,1,1
NW1435,1,1,1
NW1436,0,1,0
NW1437,1,1,1
NW1438,0,1,1
NW1439,1,1,1
NW1440,1,1,1
NW1441,1,1,1
NW1442,1,1,0
NW1443,1,1,1
NW1444,1,1,1
NW1445,1,1,1
NW1446,1,1,1
NW1447,1,1,1
NW1448,1,1,1
NW1449,1,1,1
NW145,1,0,0
NW1450,0,1,0
NW1451,1,1,0
NW1452,1,1,1
NW1453,1,0,1
NW1456,1,0,1
NW1457,1,1,1
NW1458,1,1,1
NW1459,1,1,1
NW146,1,1,0
NW1460,1,1,1
NW1461,1,1,1
NW1462,1,1,0
NW1463,1,1,1
NW1464,1,1,1
NW1465,0,1,0
NW1466,1,1,1
NW1467,1,1,1
NW1468,1,1,0
NW1469,1,1,1
NW147,1,1,1
NW1470,1,1,1
NW1471,1,1,1
NW1472,1,1,1
NW1473,1,1,1
NW1474,1,1,1
NW1475,1,1,1
NW1476,1,1,1
NW1477,1,1,0
NW1478,1,1,0
NW1479,1,1,1
NW148,1,1,1
NW1480,1,1,0
NW1481,1,1,1
