id,member,surname,title,gender,initial,profile_pic,party_id
2031,"Kumbaca, Ms AN",Kumbaca,Ms,female,AN,Kumbaca.jpg,1
1971,"Buthelezi, Mr NZ",Buthelezi,Mr,male,NZ,N_Buthelezi.jpg,4
683,"Macpherson, Mr DW",Macpherson,Mr,male,DW,Macpherson.jpg,2
2032,"Smith, Mr R",Smith,Mr,male,R,SmithR.jpg,2
2034,"Linde, Ms E",Linde,Ms,female,E,Linde.jpg,2
1972,"Mhlongo, Ms NH",Mhlongo,Ms,female,NH,mhlongo_nompumelelo.jpg,4
1940,"Mhlauli, Ms NB",Mhlauli,Ms,female,NB,Mhalauli.jpg,1
327,"Meshoe, Rev KR",Meshoe,Rev,male,KR,Meshoe.jpg,3
2030,"Dithebe, Mr SL",Dithebe,Mr,male,SL,Dithebe.jpg,1
1441,"Lucas, Ms SE",Lucas,Ms,female,SE,Lucas.jpg,1
295,"Mashatile, Mr SP",Mashatile,Mr,male,SP,P_Mashatile.jpg,1
2130,"Hlophe, Dr J",Hlophe,Dr,male,J,hlophe_dr.jpg,19
2039,"Frenchman, Ms S",Frenchman,Ms,female,S,Frenchman.jpg,24
810,"Maswanganyi, Mr MJ",Maswanganyi,Mr,male,MJ,Maswanganyi.jpg,1
2038,"Bateman, Mr AG",Bateman,Mr,male,AG,Bateman.jpg,2
1798,"Van Zyl, Ms A M",Van Zyl,Ms,female,AM,Van_Zyl.jpg,2
1991,"Makgato, Ms MP",Makgato,Ms,female,MP,Makgato.jpg,1
2040,"Mofokeng, Ms ML",Mofokeng,Ms,female,ML,mofokeng.jpg,1
1718,"Mkhonto, Ms C N",Mkhonto,Ms,female,CN,Mkhonto.jpg,11
838,"Mchunu, Mr ES",Mchunu,Mr,male,ES,Mchunu.jpg,1
2041,"Freeman, Ms E",Freeman,Ms,female,E,Freeman.jpg,20
249,"Kubayi, Ms M",Kubayi,Ms,female,M,Kubayi-Ngubane.jpg,1
1413,"Graham-Maré, Ms SJ",Graham-Maré,Ms,female,SJ,Graham.jpg,2
1938,"Letlape, Dr TKS",Letlape,Dr,male,TKS,letlape.jpg,21
580,"Mahlobo, Mr MD",Mahlobo,Mr,male,MD,Mahlobo_MB.jpg,1
87,"Sithole, Mr KP",Sithole,Mr,male,KP,Sithole_kp.jpg,4
2043,"James, Ms DE",James,Ms,female,DE,James_de.jpg,21
1942,"Nalumango, Ms RS",Nalumango,Ms,female,RS,naumango.jpg,1
1941,"Mgcina, Ms PS",Mgcina,Ms,female,PS,Phumzile_Mgcina.jpg,1
