id,member,profile_pic,party_id
2018,"Kgobisa-Ngcaba, Ms K",Kgobisa-Ngcaba.jpg,2
1400,"Nontsele, Mr M",notsele.jpg,1
370,"Motsoaledi, Dr PA",motsoaledi.jpg,1
2024,"Louw, Mr STD",louw.jpg,1
1132,"Mathabatha, Mr CS",Mathabatha.jpg,1
17,"Phaahla, Dr JM",1/Phaahla.jpg,1
99,"Steenhuisen, Mr JH",1/steenhuisen.jpg,2
1709,"Tau, Mr P",tau.jpg,1
1402,"Nqola, Mr X",nqola.jpg,1
2019,"Cameron, Mr I",Cameron.jpg,2
65,"Lorimer, Mr JR",Lorimer_JR.jpg,2
108,"Swart, Mr SN",1/swart.jpg,3
98,"Sotyu, Ms MM",sotyu.jpg,1
83,"Singh, Mr N",n_singh.jpg,4
25,"Pule, Ms DD",1/pule.jpg,1
1406,"Ntshavheni, Ms KPS",289.jpg,1
150,"van der Merwe, Ms LL",370.jpg,4
444,"Thring, Mr WM",thring.jpg,3
438,"Mohai, Mr S",mohai.jpg,1
1268,"Ismail, Ms H",1/Ismail.jpg,2
134,"Nemadzinga-Tshabalala, Ms J",1/tshabalala.jpg,1
1775,"Malematja, Mr C N",4615.jpg,1
163,"Van Rooyen, Mr DD",van_rooyen.jpg,19
248,"Chikunga, Ms LS",chikuinga.jpg,1
1774,"Marais, Ms P",1/Marais_P.jpg,11
239,"Koornhof, Dr GW",Koornhof.jpg,1
2020,"Burke, Dr MJ",Burke.jpg,2
386,"Mulder, Dr CP",Mulder.jpg,8
1715,"Maotwe, Ms OMC",2460.jpg,11
599,"Masina, Mr MC",Masina.jpg,1
1411,"Gondwe, Dr M",Gondwe.jpg,2
